modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,error
llama3.1:8b,interpreta,42,1,21.0,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,42,2,16.9,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,7,1,16.3,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,7,2,12.3,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,123,1,16.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,123,2,15.0,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,42,1,19.5,5,4,4,0.8,0.6,1.0,3,1,1,352,0,FIABLE,True,1.0,
llama3.1:8b,revisa,42,2,19.6,5,4,4,0.8,0.6,1.0,3,1,1,352,0,FIABLE,True,1.0,
llama3.1:8b,revisa,7,1,13.5,5,3,3,0.6,0.4,1.0,2,1,1,110,0,FIABLE,True,1.0,
llama3.1:8b,revisa,7,2,15.1,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,123,1,15.8,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,123,2,16.1,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,42,1,42.3,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,42,2,33.7,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,7,1,31.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,7,2,28.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,123,1,31.7,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,123,2,32.3,5,3,3,0.6,0.6,1.0,0,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
qwen2.5:14b,revisa,42,1,31.0,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,42,2,34.5,5,4,4,0.8,0.8,1.0,1,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,7,1,33.1,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,7,2,29.8,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,123,1,34.0,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,123,2,29.3,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
