modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,error
llama3.1:8b,interpreta,42,1,16.1,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,42,2,16.7,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,7,1,13.1,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,7,2,13.3,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,123,1,16.1,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,123,2,16.0,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,2024,1,17.7,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,2024,2,12.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,99,1,13.6,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,99,2,15.1,5,3,3,0.6,0.6,1.0,0,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
llama3.1:8b,interpreta,555,1,13.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,555,2,13.0,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,42,1,19.4,5,4,4,0.8,0.6,1.0,3,1,1,352,0,FIABLE,True,1.0,
llama3.1:8b,revisa,42,2,17.7,5,4,4,0.8,0.4,1.0,2,2,2,34;352,0,FIABLE,True,1.0,
llama3.1:8b,revisa,7,1,16.3,5,3,3,0.6,0.4,1.0,2,1,1,110,0,FIABLE,True,1.0,
llama3.1:8b,revisa,7,2,14.4,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,123,1,16.5,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,123,2,16.4,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,2024,1,17.5,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,2024,2,14.1,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,99,1,16.5,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,99,2,17.2,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,555,1,14.2,5,3,3,0.6,0.4,1.0,2,1,1,478,0,FIABLE,True,1.0,
llama3.1:8b,revisa,555,2,15.9,5,3,3,0.6,0.4,1.0,2,1,1,478,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,42,1,38.6,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,42,2,43.0,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,7,1,34.5,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,7,2,32.6,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,123,1,35.2,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,123,2,33.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,2024,1,32.7,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,2024,2,35.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,99,1,40.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,99,2,38.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,555,1,48.3,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,555,2,39.0,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,42,1,33.7,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,42,2,34.0,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,7,1,36.9,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,7,2,29.3,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,123,1,33.3,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,123,2,27.5,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,2024,1,28.4,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,2024,2,32.9,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,99,1,42.4,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,99,2,28.9,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,555,1,38.3,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,555,2,44.1,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,42,1,66.9,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,42,2,56.5,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,7,1,43.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,7,2,45.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,123,1,47.1,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,123,2,43.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,2024,1,53.3,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,2024,2,53.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,99,1,57.6,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,99,2,54.4,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,555,1,50.3,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,interpreta,555,2,43.4,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,42,1,48.9,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,42,2,68.5,5,4,4,0.8,0.8,1.0,1,0,0,,0,FIABLE,True,1.0,
